0.000	0.000
0.125	4.683
0.250	8.689
0.375	13.297
0.500	18.597
0.625	27.379
0.750	31.702
0.875	39.765
1.000	49.038
1.125	59.704
1.250	71.971
1.375	86.080
1.500	102.307
1.625	120.970
1.750	142.436
1.875	167.124
2.000	195.520
2.125	158.125
2.250	121.500
2.375	84.375
2.500	47.500
2.625	10.625
2.750	-26.250
2.875	-63.125
3.000	-100.000
3.125	-94.649
3.250	-89.772
3.375	-85.317
3.500	-81.233
3.625	-77.478
3.750	-74.015
3.875	-70.000
4.000	-70.813
4.125	-65.086
4.250	-62.518
4.375	-60.100
4.500	-57.879
4.625	-55.779
4.750	-53.809
4.875	-51.956
5.000	-50.212
